Bandit,Reward,Algorithm
3.0,4.22842801133985,EpsilonGreedy
3.0,4.793100093262541,EpsilonGreedy
3.0,3.729526406542666,EpsilonGreedy
3.0,4.407514176048957,EpsilonGreedy
3.0,5.276060266632378,EpsilonGreedy
3.0,2.6111205729716076,EpsilonGreedy
3.0,2.868497538261505,EpsilonGreedy
3.0,3.521239915562394,EpsilonGreedy
3.0,4.911331990162967,EpsilonGreedy
3.0,6.264320831207434,EpsilonGreedy
3.0,3.1613832556179635,EpsilonGreedy
3.0,4.992926676355084,EpsilonGreedy
3.0,4.523809801457619,EpsilonGreedy
3.0,6.420711042299791,EpsilonGreedy
3.0,5.032135433650685,EpsilonGreedy
3.0,3.432505015659011,EpsilonGreedy
3.0,4.3128846258452285,EpsilonGreedy
3.0,4.939398837835024,EpsilonGreedy
3.0,4.026395924940416,EpsilonGreedy
3.0,5.035950356877197,EpsilonGreedy
3.0,5.714884904677529,EpsilonGreedy
3.0,5.585443641807486,EpsilonGreedy
3.0,3.5629908753329107,EpsilonGreedy
3.0,6.086965607384621,EpsilonGreedy
3.0,4.03819438918141,EpsilonGreedy
3.0,4.838088151240198,EpsilonGreedy
3.0,3.760075043025162,EpsilonGreedy
3.0,4.805350118371761,EpsilonGreedy
3.0,3.763392217901798,EpsilonGreedy
3.0,2.6478879518209864,EpsilonGreedy
3.0,5.64701201591339,EpsilonGreedy
3.0,3.5338998459484605,EpsilonGreedy
3.0,2.5446017873479425,EpsilonGreedy
3.0,4.113444215686895,EpsilonGreedy
3.0,4.15649414461073,EpsilonGreedy
3.0,2.614673944099855,EpsilonGreedy
3.0,3.598340161438612,EpsilonGreedy
3.0,3.013871081479964,EpsilonGreedy
3.0,3.3554796986707474,EpsilonGreedy
3.0,4.856420674083519,EpsilonGreedy
3.0,4.510420572152747,EpsilonGreedy
3.0,4.309746629273856,EpsilonGreedy
3.0,4.535865904965424,EpsilonGreedy
3.0,3.6848206061368223,EpsilonGreedy
3.0,3.7835686626352025,EpsilonGreedy
3.0,3.8928275562836436,EpsilonGreedy
3.0,5.66418805499341,EpsilonGreedy
3.0,3.9417224112221434,EpsilonGreedy
3.0,4.359581687633563,EpsilonGreedy
3.0,4.54009883589978,EpsilonGreedy
3.0,3.1865768676144404,EpsilonGreedy
3.0,4.651863967870203,EpsilonGreedy
3.0,2.353387062193531,EpsilonGreedy
3.0,4.611672614318263,EpsilonGreedy
3.0,2.3627278238167007,EpsilonGreedy
3.0,3.846535595577453,EpsilonGreedy
3.0,3.068439927025749,EpsilonGreedy
3.0,3.9048509254318002,EpsilonGreedy
3.0,6.050296703073496,EpsilonGreedy
3.0,5.6507801018528525,EpsilonGreedy
3.0,3.831958548812067,EpsilonGreedy
3.0,4.7008679848721595,EpsilonGreedy
3.0,6.086612678978732,EpsilonGreedy
3.0,3.612572936279284,EpsilonGreedy
3.0,3.4206447001212568,EpsilonGreedy
3.0,3.983606967797507,EpsilonGreedy
3.0,4.279016168008039,EpsilonGreedy
3.0,5.177238693269208,EpsilonGreedy
3.0,2.695491062899469,EpsilonGreedy
3.0,3.1419128364504516,EpsilonGreedy
3.0,2.6982134294739533,EpsilonGreedy
3.0,3.455510412466678,EpsilonGreedy
3.0,3.711594585115915,EpsilonGreedy
3.0,3.4091475570894128,EpsilonGreedy
3.0,4.3904536412564354,EpsilonGreedy
3.0,2.946366176152298,EpsilonGreedy
3.0,4.1342315115843755,EpsilonGreedy
3.0,4.214220724104615,EpsilonGreedy
3.0,3.7622409916732016,EpsilonGreedy
3.0,3.193410794554487,EpsilonGreedy
3.0,3.607525759564084,EpsilonGreedy
3.0,5.843764560463226,EpsilonGreedy
3.0,3.054604456526606,EpsilonGreedy
3.0,6.697414972967769,EpsilonGreedy
3.0,4.618356607621472,EpsilonGreedy
